hip-angle,knee-angle,ankle-angle,phase
19.03329524,2.793751954,66.43667003,1
20.7339098,3.17983012,67.2987308,1
21.41724814,3.17983012,67.2987308,1
22.34980159,3.881837278,68.01345783,1
23.8649214,5.276592633,67.87805803,1
24.10937684,5.709047819,67.46902077,1
23.80419269,6.202524659,67.96249761,1
23.26926138,5.261988015,67.12730049,1
23.26926138,5.755464855,67.62077733,1
22.51668239,5.307517404,67.62077733,1
22.82131393,5.307517404,67.62077733,1
22.82131393,5.307517404,68.53543631,1
22.82131393,5.307517404,69.46083832,1
22.90918543,5.307517404,69.46083832,1
22.90918543,5.307517404,70.39668258,1
22.25568428,4.466666088,69.90320574,1
22.68066528,4.978023457,69.90320574,1
22.37511879,4.960863895,68.95020192,1
21.91568663,4.003972391,68.45274257,1
22.00055349,4.025407399,68.47417758,1
21.69258163,4.025407399,68.47417758,1
21.64065641,3.973482186,68.47417758,1
21.33178247,3.973482186,69.41002184,1
22.26589088,4.429309644,71.31168839,1
21.64099039,4.429309644,72.27676338,1
21.27252566,4.353220491,72.51536795,1
21.2467596,4.407874636,73.47420361,1
20.61972469,4.407874636,73.47420361,1
20.61972469,4.407874636,73.47420361,1
20.59890875,4.463404546,73.47420361,1
20.59890875,4.463404546,73.47420361,1
20.50511754,4.498020989,73.45239326,1
20.52339185,4.441594201,73.45239326,1
19.67928661,3.982162045,73.45239326,1
19.6273614,3.908041211,73.43019764,1
19.6273614,3.908041211,73.43019764,1
19.6493675,3.856936426,73.43019764,1
19.91062613,3.828828479,73.45239326,1
19.86110516,3.779307506,69.66974782,1
19.62345434,4.2985772,68.35408237,1
19.86110516,4.796337182,67.94962119,1
20.69430129,5.748250814,68.45619438,1
20.54091363,5.748250814,67.56450327,1
21.29378938,6.682323885,67.17313201,1
21.67857495,7.07140417,68.05834677,1
21.44650191,8.055016662,69.04195927,1
18.41232909,8.265375454,70.47744738,1
15.20843904,10.99364654,72.86577253,1
13.00808917,14.70320249,75.7674932,1
11.8202426,17.44640133,77.30351314,1
12.38051656,24.4906778,81.79609462,1
13.75008221,33.11712883,82.95224626,1
13.49948016,34.46642908,81.80324884,1
16.07357416,34.64929858,76.02572092,1
21.03093609,28.24702974,66.77577953,0
22.1063477,21.30093056,64.40134263,0
23.45416093,10.79649213,54.18239117,0
21.58458638,6.524196771,56.85016612,0
14.98173851,2.267352506,58.83272304,1
13.35064285,1.922466564,63.64981625,1
12.39518829,4.004172941,65.63352425,1
12.84031004,5.161915287,70.06974587,1
12.91881763,14.40668516,77.36093756,1
8.095880032,14.01536181,81.10049517,1
7.511491294,16.16230109,82.53292336,1
5.244338111,11.91482363,82.24208434,1
1.014075199,12.5212851,85.27140021,1
1.187307316,15.69267207,90.32001034,1
1.137289067,15.14698444,91.0291548,1
4.514127229,19.05741036,91.87787745,1
0.2653928604,34.52860876,86.92516705,1
4.839684688,43.67123641,84.3655848,1
9.390550227,51.38548614,67.99694439,1
13.61306,50.29173271,71.89499318,1
16.02258416,44.40051447,67.03862067,0
21.62875807,34.4505863,69.04287499,0
22.41328444,21.94272314,59.03471652,0
23.05970641,10.26089517,55.91011135,0
25.35296052,11.59052187,57.72601393,0
22.33926722,13.19702983,60.65251268,0
22.95029299,12.38365519,67.82894545,1
12.37316003,2.156562675,64.6599549,1
11.37523608,1.38429271,66.52250595,1
9.973939682,6.188937645,75.82655426,1
6.923809031,8.838198704,81.08777372,1
6.747667106,14.70003163,84.87850745,1
5.736980088,13.50574215,83.34079273,1
3.538456556,14.91010355,89.56921278,1
0.8951737102,14.073332,89.27933638,1
5.213867679,16.90651131,94.16535499,1
3.053003798,20.86794554,92.7727037,1
1.204896109,25.99315223,90.60017558,1
6.445761521,38.27748251,79.68364576,1
12.02043471,46.51973561,60.14210942,1
14.95438779,46.44952419,52.9653601,0
18.80162432,46.74369927,56.02239405,0
21.68480727,46.48800649,72.46875161,0
24.5121677,35.05942697,66.05972417,0
23.83658698,24.99330526,60.49927538,0
22.8078801,11.59217541,62.11971556,0
23.53711408,11.10057002,64.23067238,0
22.3678451,11.88506199,66.03290451,1
14.9679722,7.620064377,64.36903638,1
12.6525565,6.089245484,68.04113973,1
8.088867543,2.331274851,64.54734844,1
5.826052969,4.376177981,71.44308281,1
5.070805361,11.8152135,79.41433361,1
3.225563072,9.849083892,81.26483307,1
3.33652687,8.517091028,80.5825293,1
3.714637124,7.971846297,82.78150942,1
2.015325461,7.761406946,87.05266052,1
1.735704589,9.398609692,81.43425217,1
1.861784203,11.61487344,79.42837433,1
0.1915978115,5.247922009,73.9176843,1
0.5200801782,8.312015754,71.36905726,1
2.858024363,9.993888077,72.11231237,1
2.358649611,9.907103451,71.70232742,1
1.792063128,5.918806896,59.53445508,1
1.876945703,5.005090759,59.86807622,1
2.794057741,5.415711112,56.29204431,1
1.641115622,6.579168726,60.58092385,1
0.1959939203,6.230861828,57.58661885,1
0.2714724008,6.493068028,63.88871444,1
1.253122559,6.096361905,62.91940383,1
1.579182891,7.213043795,66.26838495,1
1.579182891,7.716096701,65.65385024,1
1.52073771,7.883139317,62.1619188,1
2.062651215,6.83419675,60.32535756,1
2.062651215,7.174183196,63.26790621,1
2.062651215,7.174183196,63.26790621,1
2.433119341,7.506342874,67.59097898,1
2.433119341,7.506342874,68.79449479,1
2.228171173,7.892694213,70.43368375,1
2.433119341,8.490270759,73.42580833,1
2.911393399,9.175637426,76.21674067,1
2.207917922,9.343621829,76.20536381,1
5.104832207,7.310776172,73.9172508,1
4.113917674,7.298019824,72.48730287,1
4.094033811,7.306128131,72.52039843,1
3.759843471,7.778215554,73.01708385,1
3.44505367,7.778215554,73.87571601,1
2.977809573,6.847916891,74.28116659,1
2.977809573,6.847916891,74.28116659,1
2.979548813,6.847916891,73.96005669,1
2.219655553,6.404571678,73.96005669,1
2.236979063,6.421895189,74.85010759,1
2.236979063,6.456074413,73.99423592,1
2.236979063,6.4908155,74.028977,1
2.683775159,6.937611596,74.028977,1
2.663000766,6.916837202,74.028977,1
2.683775159,6.902870509,73.99423592,1
3.130244862,7.854696559,73.61961311,1
3.130244862,7.854696559,74.49959227,1
3.896419199,8.300786072,74.49959227,1
3.896419199,8.300786072,74.49959227,1
3.474927689,7.840742704,74.46104041,1
4.244570209,8.290320379,74.12985462,1
4.244570209,8.290320379,74.12985462,1
4.244570209,8.328872236,73.27671537,1
4.564595106,8.328872236,74.16840648,1
4.564595106,8.328872236,74.16840648,1
4.564595106,8.328872236,74.16840648,1
4.564595106,8.328872236,74.16840648,1
4.884560099,8.328872236,74.16840648,1
4.877450559,8.328872236,74.16840648,1
4.877450559,8.328872236,74.16840648,1
4.877450559,8.328872236,74.16840648,1
4.241014115,8.290320379,75.94455939,1
4.241014115,8.252391231,76.82908178,1
4.241014115,8.290320379,76.86701092,1
4.241014115,8.290320379,76.86701092,1
4.237497311,8.252391231,77.76117957,1
5.003121088,8.701524923,77.76117957,1
5.003121088,8.66420355,78.66525342,1
5.451756348,9.571609625,79.12402423,1
4.686631003,9.122974364,79.12402423,1
3.892882422,8.686751936,79.16502166,1
3.936030786,7.815082468,78.26529058,1
2.73621882,6.970473161,77.37553999,1
3.056183813,7.393624843,78.73078947,1
2.94122876,8.34160411,80.40240368,1
4.935819505,12.29588991,83.00513418,1
6.948066924,15.36348671,84.7029519,1
10.19755197,24.53346431,87.8515673,1
12.62486044,33.87112334,86.57082486,1
16.53123612,36.33340134,75.82539253,0
18.43169347,27.59420598,73.2881056,0
20.20896848,21.57302064,69.9661539,0
21.69022954,10.24444135,57.84349929,0
25.05185452,4.980284959,54.65577937,0
26.46607855,6.328876775,56.74829071,1
24.49593771,8.289429164,57.88074441,1
16.57743305,6.283641577,62.85361363,1
13.05712651,5.212498953,65.28892741,1
14.54604872,6.471465517,64.887649,1
14.22668824,9.147080385,68.89516142,1
12.67425123,11.9197038,71.78199943,1
8.948557816,13.80464392,77.64521981,1
8.338769212,16.24622558,78.48660326,1
4.763641691,11.9620514,75.84813877,1
0.6376879819,13.18350266,84.00237505,1
2.776747407,15.45040359,86.81859504,1
4.519686952,13.80393601,88.4837011,1
9.317882942,15.64334291,92.29751682,1
5.296448855,20.09854724,90.12488767,1
1.670685782,34.56422101,85.25055537,1
3.521533676,40.23265483,79.50852299,1
6.768416282,47.96370398,70.58895724,1
9.274807661,48.38641797,59.86961721,0
15.84884593,44.37250273,78.20794151,0
23.35340591,42.94857333,69.52860184,0
23.96192711,36.11656792,70.19098302,0
28.61135015,22.01254421,57.87997824,0
31.50761224,15.48614882,54.41562639,0
29.93716622,14.2507198,58.52115006,1
28.14803666,17.93840536,68.45675539,1
17.87971189,10.34772847,68.51565682,1
15.5312408,9.007507413,72.29566976,1
12.80229384,8.191644521,78.41341915,1
7.266895373,8.756079374,80.39422034,1
1.667326293,7.448985722,82.06963036,1
1.325254388,11.92908953,84.64133716,1
0.48161034,11.75407691,86.8164145,1
1.043085215,18.76870687,95.09739974,1
1.719432002,22.16986601,96.25908294,1
3.589693927,18.75503365,95.28525542,1
2.19812876,33.02835551,82.50978449,1
5.30936622,42.02320107,56.03077754,1
6.70392443,39.77036168,50.06361685,0
13.56459701,39.76310176,75.18231419,0
18.84166724,35.47795512,75.69622954,0
20.24519626,31.8931199,75.6052552,0
22.16412005,21.99604843,63.80780113,0
21.02783203,10.0670972,61.11616391,0
18.72015174,8.313975036,65.18537862,0
15.43455879,9.803634164,69.07511687,0
13.60369907,6.133838774,68.43202177,1
9.699789506,2.958452375,67.97640263,1
3.751729071,0.6141366719,69.97006025,1
1.022086344,0.08837388289,69.9252871,1
0.2637099184,1.006498345,72.28420729,1
0.1865855239,0.2292692355,73.02570513,1
0.2868963516,3.299099969,69.66610062,1
1.781913851,2.248016602,70.81546139,1
1.114549595,2.849145143,72.59537847,1
0.09204702087,2.380167362,75.45094943,1
0.2993919183,1.229138359,78.69542027,1
0.2683458066,1.248616014,77.41362993,1
1.708605409,2.858548742,76.87959685,1
0.324075579,3.930804447,75.80734114,1
1.579427441,5.003919952,75.79424289,1
1.471545261,4.833894869,75.04096874,1
1.889351043,5.795962785,75.81282309,1
1.889351043,5.795962785,75.81282309,1
1.952239186,5.795962785,75.81282309,1
2.062771068,5.906494667,75.81282309,1
2.062771068,5.848315644,75.37030268,1
2.594440326,5.960900989,75.37030268,1
1.704421065,5.368553361,74.90466284,1
1.169350458,4.278814289,75.4593313,1
1.33575957,4.383886204,75.4593313,1
1.585518722,4.212994927,75.52515066,1
1.22647548,5.871857196,78.95245607,1
0.9371217361,5.903919744,77.30297263,1
0.980305189,5.941195875,76.85075807,1
0.9952558139,6.400559927,77.31012213,1
0.2391336103,6.884949755,76.21302187,1
0.2391336103,6.884949755,76.21302187,1
0.2391336103,6.922878903,75.39585362,1
0.2525738586,6.922878903,75.39585362,1
0.5633001046,6.922878903,75.09361795,1
0.2834842264,6.438750902,74.31534581,1
0.2972201037,6.404571678,74.28116659,1
0.1680009118,6.847916891,74.28116659,1
0.1836161497,6.814286032,74.24753573,1
0.4992969861,6.814286032,74.24753573,1
0.4992969861,6.814286032,74.24753573,1
0.06277664017,7.26709695,74.28116659,1
0.06277664017,7.233466091,75.42549742,1
0.7058966927,7.672738643,77.18513716,1
0.7331252897,7.69996724,76.90982587,1
0.7607776908,7.727619641,76.01320311,1
0.788863855,7.755705806,75.12567923,1
0.8173940553,7.751140443,75.09258367,1
0.8173940553,7.751140443,75.09258367,1
0.8173940553,7.751140443,75.09258367,1
1.582477,8.236902046,74.24753573,1
1.582477,8.236902046,74.24753573,1
0.788863855,7.789336664,74.28116659,1
0.788863855,7.789336664,74.28116659,1
0.8041413711,7.789336664,74.28116659,1
0.8041413711,7.789336664,74.28116659,1
0.788863855,7.789336664,74.28116659,1
0.788863855,7.789336664,75.15931009,1
0.788863855,7.789336664,75.15931009,1
0.01940420873,7.315160987,76.04683397,1
0.427065494,6.902870509,76.08101319,1
0.5050950842,6.868691285,77.21876802,1
1.077476208,6.827461419,79.01200078,1
1.383500087,6.79383056,78.72912395,1
1.762391024,6.373040342,80.11048255,1
2.83219677,7.730138313,81.02737339,1
4.23666482,8.600416866,81.43724933,1
5.889525469,11.28510941,82.79402954,1
9.915841334,18.04594369,82.56859203,1
14.04835546,27.87137798,80.87185209,1
14.07021207,30.91402062,76.42956561,0
15.9418981,32.95944894,70.67187085,0
18.60746496,22.54299479,64.14010329,0
21.09056129,10.095899,53.61369054,0
21.9722251,1.910366779,50.39955779,0
22.29831721,1.263938759,52.73669182,0
23.70650243,4.561314928,54.95062669,0
23.58943613,6.992754417,58.14999586,1
21.90450569,7.973066547,60.81936909,1
13.77684605,4.294014671,62.68307887,1
11.10890667,4.415423399,68.0792724,1
12.97410273,8.599729374,71.44402098,1
11.2205828,14.53828889,75.67014969,1
8.839752926,13.14718798,76.83040131,1
9.326931205,12.54474568,73.96319732,1
3.17983012,13.706961,83.25741339,1
2.550108293,15.24225481,85.21571284,1
3.351877558,2.08264202,38.20745512,1
4.507727399,0.7865835856,52.8533133,1
7.936669935,5.905351296,68.88127602,1
5.503334078,15.65104527,80.50353628,1
3.647511676,38.16793039,86.67005723,1
8.733735112,46.5670008,75.02744308,1
14.40985852,51.33048512,65.28546352,0
11.23264215,46.87064674,60.35099776,0
20.62358591,44.32273319,79.38034472,0
23.29246664,36.9319041,68.7110262,0
24.42602033,26.70775519,66.58049598,0
25.52,13.88693884,56.65737124,0
27.73869969,11.65970646,57.62887786,1
26.22789089,13.22383095,61.63322909,1
23.13158257,10.80941959,65.11551647,1
20.32229091,9.651466046,64.17309505,1
12.92060701,6.687484607,69.84167232,1
